Key,Test 1,Test 2,Test 3,Test 4,Test 5,Test 6,Test 7,Test 8,Test 9,Test 10,Test 11,Total,Accuracy
a,10,10,10,10,10,10,9,9,9,7,9,103,93.63636363636364
b,10,10,9,9,10,10,9,9,8,8,8,100,90.9090909090909
c,10,10,10,10,10,10,10,10,10,10,10,110,100.0
d,10,10,9,9,10,10,10,10,10,10,10,108,98.18181818181819
e,10,10,10,10,8,8,10,10,10,10,10,106,96.36363636363636
f,9,9,9,9,9,9,8,8,6,6,6,88,80.0
g,10,10,10,10,9,9,9,9,9,9,9,103,93.63636363636364
h,10,9,10,10,10,10,10,10,10,10,9,108,98.18181818181819
i,10,10,10,10,10,10,8,9,9,9,9,104,94.54545454545455
j,10,10,10,10,10,10,10,10,10,10,10,110,100.0
k,10,9,10,10,10,10,9,9,9,9,9,104,94.54545454545455
l,9,9,10,10,10,10,10,10,8,8,8,102,92.72727272727272
m,10,9,10,10,10,10,10,10,10,10,10,109,99.0909090909091
n,10,10,10,10,10,10,9,10,10,10,10,109,99.0909090909091
o,10,9,9,9,9,10,10,10,10,10,10,106,96.36363636363636
p,9,10,10,10,10,10,10,10,10,10,10,109,99.0909090909091
q,10,10,10,10,10,10,10,10,10,10,10,110,100.0
r,8,8,8,8,8,9,9,9,8,8,8,91,82.72727272727273
s,10,10,10,10,10,10,10,10,10,10,10,110,100.0
t,10,10,10,10,10,10,10,10,10,10,10,110,100.0
u,10,10,10,10,10,10,10,10,8,8,8,104,94.54545454545455
v,9,9,9,9,9,9,9,10,10,10,10,103,93.63636363636364
w,9,9,9,9,9,9,9,10,10,10,10,103,93.63636363636364
x,10,9,9,9,9,9,9,9,9,9,9,100,90.9090909090909
y,10,10,10,10,10,10,10,10,10,10,10,110,100.0
z,9,9,9,8,8,8,8,8,8,8,8,91,82.72727272727273
 ,10,10,10,10,10,10,10,10,10,10,10,110,100.0
",",10,10,10,10,10,10,10,10,10,10,10,110,100.0
.,10,10,10,10,10,10,10,10,10,10,10,110,100.0
/,9,9,9,8,8,8,8,9,9,9,9,95,86.36363636363636
;,10,10,10,9,9,9,9,10,10,10,10,106,96.36363636363636
back,10,10,10,10,10,10,10,10,10,10,10,110,100.0
